text,label,preprocessed_text
"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,cloth retail chain sepp+æl+æ 's sale increas 8 eur 155.2 mn oper profit rose eur 31.1 mn eur 17.1 mn 2004
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,consolid net sale increas 16 reach eur74 .8 oper profit amount eur0 .9 compar loss eur0 .7 prior year period
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,foundri divis report sale increas 9.7 eur 63.1 mn eur 57.5 mn correspond period 2006 sale machin shop divis increas 16.4 eur 41.2 mn eur 35.4 mn correspond period 2006
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,helsinki afx share close higher led nokia announc plan team sanyo manufactur 3g handset nokian tyre fourth-quart earn report beat analyst expect dealer said
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",positive,incap contract manufactur servic pvt ltd subsidiari incap corpor finland plan doubl revenu 2007-2008
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,board director propos dividend eur0 .12 per share 2010 eur0 .08 per share paid 2009
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",positive,lifetre found 2000 revenu risen averag 40 margin late 30
"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",positive,filippova trilater agreement invest construct technolog park st petersburg sign cours forum day russian economi open helsinki today
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,megafon 's subscrib base increas 16.1 2009 50.5 million user decemb 31 market share number custom amount 24 late 2009 23 late 2008 accord teliasonera estim
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,net incom life insur doubl eur 6.8 mn eur 3.2 mn net incom non-lif insur rose eur 5.2 mn eur 1.5 mn correspond period 2009
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,net sale increas eur193 .3 eur179 .9 pretax profit rose 34.2 eur43 .1 m. eur1 usd1 .4
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,net sale surg 18.5 eur167 .8 m. telest said eur20 .4 12.2 sale came acquisit made 2009
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,nordea group 's oper profit increas 2010 18 percent year-on-year 3.64 billion euro total revenu 3 percent 9.33 billion euro
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,oper profit nine-month period increas eur13 .6 net sale increas eur394 .7 compar correspond period 2005
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",positive,oper profit nine-month period increas eur3 .1 net sale increas eur61 .5 compar correspond period 2007
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,oper profit three-month period increas eur1 .2 revenu increas eur20 .2 compar correspond period 2005
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .",positive,"brazilian unit finnish secur solut provid f-secur sign 1,500 new client last year onlin news sourc resel web quot divis 's commerci director vladimir brand+_o say"
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,compani 's net profit rose 11.4 year 82.2 million euro 2005 sale 686.5 million euro 13.8 year compani said earlier
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,lithuanian beer market made 14.41 million liter januari rise 0.8 percent year-earli figur lithuanian brewer associ report cite result member
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,"vike line 's cargo revenu increas 5.4 eur 21.46 mn cargo volum increas 2.4 70,116 cargo unit"
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,"fair valu properti portfolio doubl result kapite acquisit total eur 2,686.2 1,259.7 million"
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,10 februari 2011 finnish medium compani sanoma oyj hel saa1v said yesterday 2010 net profit almost tripl eur297 .3 eur107 .1 2009 announc propos rais payout
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,helsinki eliiv today report ep eur1 .13 2009 increas ep eur1 .12 2008
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",positive,aspo plc stock exchang releas februari 11 2011 at8 .45 a.m. esl ship ltd part aspo group sign new long-term contract rautaruukki corpor marin transport raw materi baltic sea
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,commiss incom increas 22 eur 4.4 mn lend volum rose 13.5
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,januari traffic measur revenu passeng kilometr rpk went 3.2 capac measur avail seat kilometr ask rose 12.2
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,january-septemb 2010 fiskar net profit went 14 year-on-year eur 65.4 million net sale eur 525.3 million eur 487.7 million
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,net incom life insur rose eur 16.5 mn eur 14.0 mn net incom non-lif insur eur 22.6 mn eur 15.2 mn 2009
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive,"nyrstar also agre suppli talvivaara 150,000 tonn sulphur acid per annum use talvivaara 's leach process period suppli zinc concentr"
"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",positive,sale depart store divis hobbi hall increas 7 sale cloth store subsidiari seppala decreas 4
Sales have risen in other export markets .,positive,sale risen export market
Sales increased due to growing market rates and increased operations .,positive,sale increas due grow market rate increas oper
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,agreement strengthen long-term partnership nokia siemen network
"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",positive,agreement sign biohit healthcar ltd uk-bas subsidiari biohit oyj finnish public compani develop manufactur market liquid handl product diagnost test system
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,compani also estim alreadi carri invest lead increas net sale 2010 2009 reach eur 141.7 million
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,compani 's order book stood 1.5 bln euro 2.2 bln septemb 30 2007 24.2 pct year intern order amount 365 mln euro 534.3 mln
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,compani said paper demand increas main market includ public paper increas averag paper price 4 percent compar last year
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,world 's second largest stainless steel maker said net profit three-month period dec. 31 surg euro603 million u 781 million euro3 .33 u 4.31 per share euro172 million euro0 .94 per share previou year
"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",positive,within framework partnership nokia siemen network sign initi framework purchas agreement sitron subsidiari jsc mikron largest manufactur export microelectron compon russia
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",positive,seppala 's revenu increas 0.2 eur10 .1 m. finland revenu went 2.4 eur6 .8 sale abroad rose 6.2 eur3 .3 m. sale increas baltic countri well russia ukrain
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,share standard charter stan rose 1.2 ftse 100 royal bank scotland rb share rose 2 barclay share barc bc 1.7
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,share nokia corp. rose thursday cell phone maker said third-quart earn almost doubl share global handset market increas
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,financi report publish friday seb said net profit soar sek6 .745 bn 2010 year-earli sek1 .114 bn propos 50 dividend increas sek1 .50 per share
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,positive,sale depart store divis increas 15 sale cloth store subsidiari seppala increas 8 meanwhil sale hobbi hall decreas 12
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,request finnish medium compani alma medium 's newspap research manag jari kaivo-oja finland futur research centr turku school econom drawn futur scenario finland 's nation economi use model develop univers denver
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",neutral,sweden gallerix accumul sek denomin sale 1 eur denomin sale 11
The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,neutral,compani support global custom develop new technolog offer fast rout product develop applic volum product
"When this investment is in place , Atria plans to expand into the Moscow market .",neutral,invest place atrium plan expand moscow market
"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",neutral,`` new agreement continu theagreement sign earlier year lemminkainen group wherebi cramo acquir entir construct machin fleet oflemminkainen talo oy ita ja pohjoi suomo sign asimilar agreement `` said tatu hauhio manag director ofcramo finland
"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",positive,first contract envisag construct three ferryboat option two unit confirm total valu 500 mln euro 645.8 mln
"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",neutral,june sold 30 percent stake nordstjernan invest group taken option acquir eqt 's remain share
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",positive,kesko corpor stock exchang releas 28.02.2008 09.30 1 1 kesko corpor aspo plc today sign agreement aspo acquir share capit kauko-telko ltd subsidiari wholli own kesko
Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,positive,sponda plc stock exchang releas 5 decemb 2006 15.45 eur 1.5 billion syndic credit facil sponda sponda sign agreement one-year syndic credit facil total eur 1.5 billion
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,stock exchang announc 20 juli 2006 1 1 baswar share subscript warrant increas share capit total 119 850 share subscrib baswar warrant program
"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",positive,contract cover hdo platform ac800 cxe880 optic fttb node design increas forward return path capac transmiss network
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,neutral,new plant plan electr gener capac 350 megawatt mw heat gener capac
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",positive,"omx helsinki 25 index 0.92 pct 2,518.67 helsinki cap portfolio index 0.91 pct higher 4,711.19"
"- So , the sales growth of cars considerably influence on the tires market '' .",neutral,sale growth car consider influenc tire market ``
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,"maximum 666,104 new share subscrib exercis b option 2004 stock option plan"
"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",neutral,"result share issu number compani 's share increas 391,630 share share capit total eur 15,665.20"
"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .",neutral,finnish real estat investor sponda plc said wednesday 12 march sign agreement dansk bank a- helsinki branch 7-year eur150m credit facil ilmarinen mutual pension insur compani 7-year eur50m credit facil
"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",neutral,rout helsinki finland tallinn estonia cargo volum increas 36 cargo volum finland sweden fell 9
"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",neutral,measur includ increas synergi economi scale within grimaldi group personnel adjust divest redeliveri excess tonnag
"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",positive,"rinkuskiai rais sale 18.1 percent 1.37 million liter sale kauno alu grew 14.3 percent 960,000 liter"
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,neutral,telecomworldwire-7 april 2006-tj group plc sell stake morn digit design oy finnish compani tj group plc said friday 7 april sign agreement sell share morn digit design oy edita oyj
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,positive,telecomworldwire-7 april 2006-tj group plc sell stake morn digit design oy finnish compani tj group plc said friday 7 april sign agreement sell share morn digit design oy edita oyj
"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",neutral,"718,430 new seri share becom subject trade helsinki stock exchang 's main list togeth old seri share juli 3 2006"
The fuel purchase contracts have been signed with three months ' delivery from this September to November .,neutral,fuel purchas contract sign three month deliveri septemb novemb
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,tiimari oper 194 store six countri -- includ core finnish market -- gener turnov 76.5 mln eur 2005
Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,positive,agreement biohit becom focu supplier pipettor dispos pipettor tip vwr custom throughout europ
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",positive,combin servic enabl u offer complex strengthen servic chain limit baltic port connect also get access world wide grimaldi network mediterranean africa north america `` say uwe bakosch
No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,neutral,blind-spot come 1 vantag point allow investig see whole stori high resolut unbroken video
"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",positive,compani still expect turnov 2010 slightli increas level 2009 ad `` market predict still poor trustworthi forecast market develop contract manufactur busi current year ``
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,acquisit consider increas kemira 's sale market posit russian metal industri coat market
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,january-septemb 2007 finnlin net sale rose eur 505.4 mn eur 473.5 mn correspond period 2006
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,adjust chang group structur divis 's net sale increas 1.7
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",positive,`` chang optim oper effici grow busi `` said julia prohaska director market commun fiskar
"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",positive,`` would invest physic infrastructur would also provid know-how manag develop scienc technolog park `` said sunris valley director andriu bagdona
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,"4 februari 2011 finnish broadband data commun system provid telest oyj hel tlt1v saw net profit jump eur2 .1 last quarter 2010 eur995 ,000 period 2009"
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,finnish aktia group 's oper profit rose eur 17.5 mn first quarter 2010 eur 8.2 mn first quarter 2009
Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,finnish bank +_land 's consolid net oper profit increas eur 4.8 mn first quarter 2005 eur 6.4 mn first quarter 2006
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,finnish financi group aktia report oper profit eur 44.4 mn january-septemb 2009 eur 37.3 mn correspond period 2008
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",positive,finnish high technolog provid vaahto group report net sale eur 41.8 mn account period septemb 2007 februari 2008 increas 11.2 year earlier
Net sales of Finnish food industry company L+Ænnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,net sale finnish food industri compani l+ænnen tehtaat 's continu oper increas 13 2008 eur 349.1 mn eur 309.6 mn 2007
An individual promotion also generated slightly higher-than-expected revenues .,positive,individu promot also gener slightli higher-than-expect revenu
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,biohit alreadi servic mani current genesi custom custom base expect expand result agreement
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,oper profit turnov three-month period increas respect eur0 .9 eur8 .3 compar correspond period 2005
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,circul revenu increas 5 finland 4 sweden 2008
Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,cloth chain sepp+æl+æ 's net sale increas 7.0 eur 30.8 mn
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,construct volum meanwhil grow rate 10-15 percent annual
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,positive,finnish swedish construct market still experienc estim 4 annual growth 2008
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,howev biohit estim total net sale continu grow 2009 favour trend net sale lead profit 2009
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,2009 fiskar cash flow oper activ amount eur121m eur97m previou year
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive,"lithuania oper profit rose eur 190,000 eur 70,000 correspond period 2005"
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,"fourth quarter 2008 net sale increas 2 eur 1,050.7 mn eur 1,027.0 mn fourth quarter 2007"
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,"intern sale rose 59.8 eur 1,244.4 mn"
Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,neutral,kalmar espana gener net sale 11.3 mln euro 14.8 mln 2005
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,net sale grew period x20ac 402 million 585u million x20ac 401 million 2006
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive,net sale increas eur655m april june 2010 eur438m year earlier
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,net sale rose 25.5 year-on-year eur59 .6 number charger deliv went 41 65.9 million piec
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,net sale total eur 93.6 mn eur 93.2 mn correspond period 2005
"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",positive,nokia also note averag sell price handset declin period though mobil phone profit margin rose 22 percent 13 percent year-ago quarter
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,oper profit increas 145.1 eur 8.3 mn eur 3.4 mn
Operating profit margin increased from 11.2 % to 11.7 % .,positive,oper profit margin increas 11.2 11.7
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,oper profit rose eur 3.11 mn eur 1.22 mn correspond period 2009
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,positive,oper profit rose eur 5mn eur 2.8 mn fourth quarter 2008
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,oper profit eur 24.5 mn eur 23.0 mn
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive,ramir 's net sale second quarterend june 30 euro 128.7 million u.s. 163 million 3.3-percent increas compar euro 124.6 million thesecond quarter last year
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive,revenu grew 2 percent x20ac 580 million 743 million x20ac 569 million
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,positive,ruukki announc sign agreement aker solut norway suppli 24 suction anchor septemb 2010 kalajoki unit finland
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",positive,ruukki 's deliveri volum sell price show favour develop compani 's compar net sale grew 50 year-on-year eur647m ceo sakari tamminen said
Sanoma Magazines ' net sales are estimated to grow in 2006 .,positive,sanoma magazin net sale estim grow 2006
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,positive,bank forecast finland 's gdp grow 2 2010 2011
"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",positive,"circuit 's overal product rate weekli basi excess averag 40,000 tonn per day volum excess 50,000 tonn per day reach individu day"
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,compani 's consolid oper profit amount eur 15.86 mn eur 4.14 mn year-on-year
